client_ID;age;gender;marital_status;SPC_ID;Industry_sector;Market_type;Affiliated_agency;Monthly_income;Monthly_debt_payments;Monthly_spending;Assets_worth;Employment_Stability;Credit_Score
20;61;male;divorced;024;Retirees and Pensioners;B2B Market (Business-to-Business);168;4339;0;3037;115436.5;23;767
21;72;male;divorced;024;Retirees and Pensioners;B2B Market (Business-to-Business);37;4381;1752;1840;137449.0;19;641
22;29;male;married;061;Agriculture and Fishing;B2B Market (Business-to-Business);146;2158;0;1510;27590.0;1;697
23;43;female;single;100;Merchants and Traders;B2C Market (Business-to-Consumer);183;4403;1761;1585;78575.5;20;708
24;21;male;single;003;Public Administration;B2B Market (Business-to-Business);172;4200;1680;1764;27625.0;3;679
25;34;female;married;056;Merchants and Traders;B2C Market (Business-to-Consumer);22;4360;0;2616;55754.0;3;642
26;29;female;married;010;Public Administration;B2B Market (Business-to-Business);141;2946;883;1444;28954.0;4;667
27;80;male;divorced;069;Retirees and Pensioners;B2C Market (Business-to-Consumer);121;3939;1181;1654;144389.0;23;706
28;46;female;divorced;048;Self-Employed Artisans and Traders;B2C Market (Business-to-Consumer);118;3743;1122;1834;73232.0;17;714
29;32;female;married;057;Legal Activities;B2C Market (Business-to-Consumer);107;4780;0;2868;49497.0;11;710
30;21;male;single;046;Self-Employed Artisans and Traders;B2C Market (Business-to-Consumer);82;3044;1217;1278;24117.0;3;682
31;36;female;married;049;Self-Employed Artisans and Traders;B2C Market (Business-to-Consumer);7;2940;882;1234;38233.0;2;639
32;62;male;married;024;Retirees and Pensioners;B2B Market (Business-to-Business);162;4730;1892;1986;127384.0;23;712
33;43;female;married;057;Legal Activities;B2C Market (Business-to-Consumer);172;3355;1342;1207;66499.5;25;743
34;43;male;married;066;Legal Activities;B2C Market (Business-to-Consumer);0;5475;2190;1971;97112.5;8;669
35;73;male;married;024;Retirees and Pensioners;B2B Market (Business-to-Business);18;3911;1564;1408;126816.5;5;748
36;22;male;single;021;Private Sector Technical and Support;B2B Market (Business-to-Business);226;2459;983;1033;21585.0;4;615
37;36;male;married;040;Self-Employed Professionals;B2B Market (Business-to-Business);189;4572;0;2743;58665.0;6;669
38;33;female;divorced;047;Self-Employed Artisans and Traders;B2C Market (Business-to-Consumer);153;4095;0;2866;53177.5;3;713
39;27;male;married;062;Agriculture and Fishing;B2B Market (Business-to-Business);36;2940;1176;1058;25440.0;3;641
40;21;female;married;069;Retirees and Pensioners;B2C Market (Business-to-Consumer);219;3743;1497;1347;29072.5;1;670
41;71;female;divorced;069;Retirees and Pensioners;B2C Market (Business-to-Consumer);192;3872;1548;1394;125262.0;17;770
42;32;female;divorced;045;Self-Employed Artisans and Traders;B2C Market (Business-to-Consumer);175;3625;1450;1305;45667.0;0;703
43;18;female;single;036;Self-Employed Professionals;B2B Market (Business-to-Business);52;4782;0;2869;17780.0;0;694
44;70;female;married;069;Retirees and Pensioners;B2C Market (Business-to-Consumer);194;3687;1474;1549;120042.0;6;684
45;21;female;single;009;Public Administration;B2B Market (Business-to-Business);144;1659;497;697;19317.5;0;618
46;72;female;married;069;Retirees and Pensioners;B2C Market (Business-to-Consumer);122;4437;1774;1597;137507.0;18;718
47;33;female;married;025;Retirees and Pensioners;B2B Market (Business-to-Business);71;4033;1209;1976;50129.5;6;695
48;24;female;married;069;Retirees and Pensioners;B2C Market (Business-to-Consumer);62;3784;1135;1854;36045.0;3;657
49;73;female;divorced;024;Retirees and Pensioners;B2B Market (Business-to-Business);173;4542;1362;2226;148195.0;4;633
50;41;female;married;027;Self-Employed Professionals;B2B Market (Business-to-Business);194;4321;1296;2117;71253.5;16;663
51;61;female;married;024;Retirees and Pensioners;B2B Market (Business-to-Business);181;4709;1883;1695;124933.5;9;776
52;51;female;divorced;000;Armed forces;B2B Market (Business-to-Business);49;1216;486;510;38025.0;19;681
53;29;male;divorced;030;Education;B2B Market (Business-to-Business);29;4261;0;2982;39426.5;7;715
54;24;female;married;042;Self-Employed Professionals;B2B Market (Business-to-Business);59;4901;1960;2058;38279.0;0;587
55;19;male;single;032;Healthcare;B2B Market (Business-to-Business);152;6935;2080;3398;31475.5;0;750
56;22;female;single;060;Agriculture and Fishing;B2B Market (Business-to-Business);61;2161;0;1512;15890.0;1;682
57;37;female;married;043;Self-Employed Professionals;B2B Market (Business-to-Business);133;4634;1853;1668;64402.0;15;719
58;26;female;married;057;Legal Activities;B2C Market (Business-to-Consumer);146;3217;1286;1351;29451.0;6;700
59;42;female;married;025;Retirees and Pensioners;B2B Market (Business-to-Business);139;4463;1338;2187;72667.0;5;655
60;35;female;divorced;052;Merchants and Traders;B2C Market (Business-to-Consumer);28;4552;0;2731;55148.0;13;748
61;55;female;married;046;Self-Employed Artisans and Traders;B2C Market (Business-to-Consumer);43;3263;978;1599;80015.5;22;734
62;57;male;divorced;016;Private Sector Management;B2B Market (Business-to-Business);62;6260;1878;2629;151175.0;15;747
63;63;female;married;024;Retirees and Pensioners;B2B Market (Business-to-Business);9;4456;0;3119;115665.0;11;723
64;66;female;divorced;069;Retirees and Pensioners;B2C Market (Business-to-Consumer);34;3514;1405;1265;105098.0;10;639
65;57;female;married;033;Healthcare;B2B Market (Business-to-Business);142;5617;0;3931;131803.5;16;735
66;68;male;divorced;069;Retirees and Pensioners;B2C Market (Business-to-Consumer);172;3595;1078;1761;105840.0;8;665
67;34;male;married;040;Self-Employed Professionals;B2B Market (Business-to-Business);104;3503;1050;1471;51109.0;8;690
68;40;female;married;069;Retirees and Pensioners;B2C Market (Business-to-Consumer);229;4892;1956;1761;73333.0;22;646
69;23;female;single;015;Public Administration;B2B Market (Business-to-Business);184;2310;693;1131;20212.0;1;707
70;59;female;divorced;016;Private Sector Management;B2B Market (Business-to-Business);180;6032;2412;2534;145714.0;7;697
71;38;male;single;039;Self-Employed Professionals;B2B Market (Business-to-Business);217;3988;0;2791;63749.0;15;740
72;67;male;divorced;024;Retirees and Pensioners;B2B Market (Business-to-Business);145;4648;1859;1673;134216.0;9;743
73;76;male;divorced;069;Retirees and Pensioners;B2C Market (Business-to-Consumer);40;4074;1629;1711;142484.0;15;756
74;47;male;married;021;Private Sector Technical and Support;B2B Market (Business-to-Business);131;2747;1098;989;58166.5;10;705
75;52;female;divorced;057;Legal Activities;B2C Market (Business-to-Consumer);72;4438;0;3106;97912.0;5;701
76;23;female;married;002;Unreported;B2B Market (Business-to-Business);47;5160;2064;2167;37140.0;2;730
77;78;female;divorced;069;Retirees and Pensioners;B2C Market (Business-to-Consumer);119;4802;1440;2353;160064.0;14;776
78;68;female;single;024;Retirees and Pensioners;B2B Market (Business-to-Business);52;3584;1433;1505;113564.0;3;640
79;18;female;married;012;Public Administration;B2B Market (Business-to-Business);192;4664;0;2798;22185.0;0;653
80;57;female;divorced;066;Legal Activities;B2C Market (Business-to-Consumer);166;6965;2786;2507;164588.5;14;664
81;22;male;single;026;Self-Employed Artisans and Traders;B2B Market (Business-to-Business);115;3508;1403;1473;26137.0;0;674
82;22;male;single;066;Legal Activities;B2C Market (Business-to-Consumer);47;5813;0;4069;33543.0;3;601
83;29;female;married;026;Self-Employed Artisans and Traders;B2B Market (Business-to-Business);171;3535;1414;1484;42219.5;9;630
84;50;male;married;062;Agriculture and Fishing;B2B Market (Business-to-Business);109;3516;1054;1477;74468.0;0;670
85;49;female;married;069;Retirees and Pensioners;B2C Market (Business-to-Consumer);11;4942;1976;2076;96651.0;28;752
86;39;female;married;064;Unemployed and Others;B2C Market (Business-to-Consumer);82;841;336;353;22040.5;5;703
87;37;female;married;036;Self-Employed Professionals;B2B Market (Business-to-Business);70;5379;2151;2259;75744.5;9;744
88;25;female;married;033;Healthcare;B2B Market (Business-to-Business);221;5524;2209;2320;48206.0;1;630
89;39;female;married;045;Self-Employed Artisans and Traders;B2C Market (Business-to-Consumer);177;4027;1610;1691;65730.5;10;679
90;21;female;single;005;Public Administration;B2B Market (Business-to-Business);9;3770;0;2262;23773.0;3;582
91;22;male;married;064;Unemployed and Others;B2C Market (Business-to-Consumer);50;657;0;394;13412.0;3;659
92;37;female;married;052;Merchants and Traders;B2C Market (Business-to-Consumer);44;3296;988;1384;49987.0;3;748
93;21;male;single;073;Unreported;B2C Market (Business-to-Consumer);177;5101;0;3060;33277.5;3;623
94;44;female;divorced;026;Self-Employed Artisans and Traders;B2B Market (Business-to-Business);226;3993;0;2795;71307.0;26;763
95;78;female;married;069;Retirees and Pensioners;B2C Market (Business-to-Consumer);102;4895;1468;2056;162081.0;21;640
96;38;female;married;027;Self-Employed Professionals;B2B Market (Business-to-Business);12;4373;1749;1836;68602.0;11;698
97;33;female;married;065;Unreported;B2C Market (Business-to-Consumer);192;6801;2040;2856;78792.5;13;740
98;19;female;single;032;Healthcare;B2B Market (Business-to-Business);150;6936;2774;2913;28695.0;0;684
99;71;male;divorced;024;Retirees and Pensioners;B2B Market (Business-to-Business);62;4811;1924;2020;142524.5;0;703
100;26;female;single;027;Self-Employed Professionals;B2B Market (Business-to-Business);189;4119;1235;1730;38289.0;8;695
101;29;male;married;026;Self-Employed Artisans and Traders;B2B Market (Business-to-Business);224;4362;1744;1832;40567.0;6;716
102;47;female;divorced;016;Private Sector Management;B2B Market (Business-to-Business);31;7877;0;5513;138573.5;7;794
103;33;female;married;045;Self-Employed Artisans and Traders;B2C Market (Business-to-Consumer);52;4964;1489;2432;59094.0;12;713
104;33;female;married;071;Self-Employed Professionals;B2C Market (Business-to-Consumer);175;3283;0;2298;42576.5;7;639
105;46;female;divorced;033;Healthcare;B2B Market (Business-to-Business);217;6323;2529;2655;118095.0;16;720
106;62;male;divorced;024;Retirees and Pensioners;B2B Market (Business-to-Business);161;4660;0;2796;123625.0;27;762
107;47;male;divorced;041;Self-Employed Professionals;B2B Market (Business-to-Business);147;4845;1938;1744;93784.5;7;753
108;53;male;divorced;004;Public Administration;B2B Market (Business-to-Business);148;4186;1255;2051;89403.0;6;659
109;71;female;married;024;Retirees and Pensioners;B2B Market (Business-to-Business);145;4628;1851;1943;147336.0;8;778
110;79;female;married;024;Retirees and Pensioners;B2B Market (Business-to-Business);71;4172;1668;1752;148000.0;28;655
111;64;female;single;069;Retirees and Pensioners;B2C Market (Business-to-Consumer);127;3786;0;2271;105747.0;13;768
112;54;female;divorced;015;Public Administration;B2B Market (Business-to-Business);189;3205;0;2243;76219.0;24;673
113;77;male;divorced;069;Retirees and Pensioners;B2C Market (Business-to-Consumer);173;4689;1875;1969;162167.5;29;636
114;32;male;married;002;Unreported;B2B Market (Business-to-Business);103;6034;0;4223;71667.0;12;778
115;33;female;married;040;Self-Employed Professionals;B2B Market (Business-to-Business);66;5212;1563;2189;62767.0;1;756
116;49;male;married;050;Merchants and Traders;B2C Market (Business-to-Consumer);200;2917;1166;1050;58552.5;24;687
117;80;female;divorced;024;Retirees and Pensioners;B2B Market (Business-to-Business);180;4233;1269;1778;147225.0;0;699
118;27;female;divorced;048;Self-Employed Artisans and Traders;B2C Market (Business-to-Consumer);229;4290;1287;1801;34666.0;7;591
119;27;male;married;061;Agriculture and Fishing;B2B Market (Business-to-Business);148;3946;1578;1657;33100.0;8;666
120;39;female;divorced;021;Private Sector Technical and Support;B2B Market (Business-to-Business);44;2736;820;1149;40544.0;19;720
121;48;male;divorced;026;Self-Employed Artisans and Traders;B2B Market (Business-to-Business);224;3762;0;2633;74200.0;21;675
122;18;female;single;025;Retirees and Pensioners;B2B Market (Business-to-Business);54;4371;1748;1573;18252.0;0;639
123;69;female;divorced;069;Retirees and Pensioners;B2C Market (Business-to-Consumer);80;3991;0;2793;117382.5;13;737
124;49;male;divorced;005;Public Administration;B2B Market (Business-to-Business);38;3819;0;2673;80200.5;3;745
125;19;female;single;048;Self-Employed Artisans and Traders;B2C Market (Business-to-Consumer);115;4921;1968;2067;19969.5;0;723
126;26;female;single;099;Unemployed and Others;B2C Market (Business-to-Consumer);77;3920;1568;1411;36345.0;6;694
127;74;male;married;024;Retirees and Pensioners;B2B Market (Business-to-Business);127;4580;1832;1648;145861.0;9;686
128;54;female;married;073;Unreported;B2C Market (Business-to-Consumer);89;3053;915;1496;75764.0;3;678
129;27;male;married;060;Agriculture and Fishing;B2B Market (Business-to-Business);148;3131;0;1878;31343.5;3;610
130;59;female;married;036;Self-Employed Professionals;B2B Market (Business-to-Business);144;4664;1865;1679;116979.0;25;744
131;38;male;divorced;027;Self-Employed Professionals;B2B Market (Business-to-Business);234;4066;1626;1464;65393.0;16;692
132;60;female;married;048;Self-Employed Artisans and Traders;B2C Market (Business-to-Consumer);144;3924;0;2354;106241.0;26;699
133;35;male;married;003;Public Administration;B2B Market (Business-to-Business);93;4241;1696;1781;52558.5;17;728
134;20;female;single;004;Public Administration;B2B Market (Business-to-Business);4;5539;2215;1994;31774.0;0;604
135;33;male;single;002;Unreported;B2B Market (Business-to-Business);38;4905;0;3433;58089.5;10;699
136;29;male;married;038;Healthcare;B2B Market (Business-to-Business);155;3598;1079;1511;39715.0;10;699
137;28;male;married;068;Real Estate Activities;B2C Market (Business-to-Consumer);121;5471;0;3829;54639.0;3;744
138;37;female;married;067;Real Estate Activities;B2C Market (Business-to-Consumer);2;5938;0;4156;79484.0;15;773
139;44;male;married;061;Agriculture and Fishing;B2B Market (Business-to-Business);222;3740;1122;1832;69306.0;7;771
140;56;female;married;026;Self-Employed Artisans and Traders;B2B Market (Business-to-Business);86;4874;0;3411;113464.0;9;658
141;41;male;married;020;Private Sector Technical and Support;B2B Market (Business-to-Business);150;3631;1452;1307;60512.5;23;677
142;52;female;married;050;Merchants and Traders;B2C Market (Business-to-Consumer);144;4335;1300;2124;94832.0;13;737
143;39;male;divorced;099;Unemployed and Others;B2C Market (Business-to-Consumer);140;2808;842;1376;41573.0;3;691
144;72;male;divorced;069;Retirees and Pensioners;B2C Market (Business-to-Consumer);33;3849;0;2694;120948.0;2;727
145;44;female;single;027;Self-Employed Professionals;B2B Market (Business-to-Business);217;5059;2023;2125;94688.0;7;694
146;29;female;married;052;Merchants and Traders;B2C Market (Business-to-Consumer);232;4547;1818;1637;43894.5;0;599
147;46;female;divorced;071;Self-Employed Professionals;B2C Market (Business-to-Consumer);177;3994;1198;1677;76233.0;2;665
148;23;female;single;026;Self-Employed Artisans and Traders;B2B Market (Business-to-Business);130;4869;1460;2045;34122.5;1;586
149;19;male;married;037;Education;B2B Market (Business-to-Business);161;4369;1310;1835;19420.5;0;715
150;21;female;married;051;Merchants and Traders;B2C Market (Business-to-Consumer);38;4426;0;3098;23507.0;2;587
151;46;female;married;062;Agriculture and Fishing;B2B Market (Business-to-Business);165;2593;1037;1089;52617.0;23;744
152;18;female;single;021;Private Sector Technical and Support;B2B Market (Business-to-Business);160;2348;704;1150;17699.0;0;569
153;35;female;married;042;Self-Employed Professionals;B2B Market (Business-to-Business);128;4701;1880;1692;60634.5;1;687
154;72;male;married;069;Retirees and Pensioners;B2C Market (Business-to-Consumer);40;3921;0;2744;123165.0;25;774
155;45;male;married;042;Self-Employed Professionals;B2B Market (Business-to-Business);217;5802;2320;2089;101195.0;17;713
156;32;female;married;023;Education;B2B Market (Business-to-Business);120;22;0;15;14210.0;9;712
157;27;female;divorced;046;Self-Employed Artisans and Traders;B2C Market (Business-to-Consumer);115;3006;1202;1082;32332.0;9;680
158;36;female;married;001;Public Administration;B2B Market (Business-to-Business);137;7105;0;4973;89412.0;13;683
159;79;female;married;069;Retirees and Pensioners;B2C Market (Business-to-Consumer);120;4999;0;3499;168513.5;20;780
160;73;female;divorced;069;Retirees and Pensioners;B2C Market (Business-to-Consumer);200;4524;1809;1629;144495.0;6;735
161;47;male;divorced;021;Private Sector Technical and Support;B2B Market (Business-to-Business);168;3640;1092;1783;70901.0;22;637
162;60;female;married;045;Self-Employed Artisans and Traders;B2C Market (Business-to-Consumer);187;4096;1228;2007;108739.0;27;747
163;21;female;married;014;Public Administration;B2B Market (Business-to-Business);10;2686;0;1611;16178.0;1;610
164;44;female;single;036;Self-Employed Professionals;B2B Market (Business-to-Business);9;3842;0;2305;65607.0;10;724
165;56;female;single;006;Public Administration;B2C Market (Business-to-Consumer);171;2551;1020;1071;66337.0;26;766
166;38;male;married;037;Education;B2B Market (Business-to-Business);232;4912;0;3438;65186.0;6;648
167;42;male;married;026;Self-Employed Artisans and Traders;B2B Market (Business-to-Business);194;3830;0;2681;69603.0;7;686
168;45;female;married;050;Merchants and Traders;B2C Market (Business-to-Consumer);195;3512;1404;1475;62669.0;27;695
169;20;male;single;067;Real Estate Activities;B2C Market (Business-to-Consumer);153;5861;2344;2110;32737.0;0;716
170;40;female;married;062;Agriculture and Fishing;B2B Market (Business-to-Business);153;3145;943;1541;59409.0;9;754
171;39;female;married;035;Legal Activities;B2B Market (Business-to-Business);190;6071;0;4249;92225.5;18;790
172;50;male;divorced;064;Unemployed and Others;B2C Market (Business-to-Consumer);11;944;377;396;31621.0;26;653
173;60;female;divorced;004;Public Administration;B2B Market (Business-to-Business);133;5492;1647;2691;142807.0;2;736
174;52;female;married;051;Merchants and Traders;B2C Market (Business-to-Consumer);175;4680;1404;2293;98933.0;30;777
175;24;female;married;058;Merchants and Traders;B2C Market (Business-to-Consumer);131;3641;1456;1529;27560.0;5;658
176;38;female;married;014;Public Administration;B2B Market (Business-to-Business);103;3519;1407;1478;57679.0;20;699
177;41;female;married;100;Merchants and Traders;B2C Market (Business-to-Consumer);234;3945;0;2367;60961.5;8;638
178;57;female;divorced;100;Merchants and Traders;B2C Market (Business-to-Consumer);47;2735;1094;984;69673.5;2;669
179;20;male;single;037;Education;B2B Market (Business-to-Business);126;6593;0;4615;29377.0;1;662
180;22;female;single;046;Self-Employed Artisans and Traders;B2C Market (Business-to-Consumer);198;3364;1345;1211;24673.0;2;700
181;18;male;single;016;Private Sector Management;B2B Market (Business-to-Business);97;7534;3013;2712;29382.0;0;613
182;39;female;married;052;Merchants and Traders;B2C Market (Business-to-Consumer);97;4558;0;2734;72363.0;1;707
183;21;female;single;000;Armed forces;B2B Market (Business-to-Business);150;1829;731;768;17779.5;0;582
184;24;male;married;002;Unreported;B2B Market (Business-to-Business);152;4678;1871;1684;31690.0;5;719
185;61;male;divorced;069;Retirees and Pensioners;B2C Market (Business-to-Consumer);43;4350;0;2610;116113.0;22;653
186;35;female;married;062;Agriculture and Fishing;B2B Market (Business-to-Business);193;3207;1282;1347;49328.5;15;723
187;70;male;divorced;024;Retirees and Pensioners;B2B Market (Business-to-Business);219;4984;1993;2093;151746.0;20;787
188;34;female;married;021;Private Sector Technical and Support;B2B Market (Business-to-Business);0;3721;1488;1339;45139.0;3;751
189;20;male;single;005;Public Administration;B2B Market (Business-to-Business);18;2780;0;1668;20966.0;2;614
190;50;male;divorced;064;Unemployed and Others;B2C Market (Business-to-Consumer);185;280;112;117;22354.0;21;730
191;28;female;married;005;Public Administration;B2B Market (Business-to-Business);7;2674;1069;963;25874.0;2;705
192;36;female;married;040;Self-Employed Professionals;B2B Market (Business-to-Business);8;3889;1555;1633;58210.0;6;673
193;59;male;married;016;Private Sector Management;B2B Market (Business-to-Business);184;7671;3068;2761;183375.5;27;703
194;55;female;divorced;072;Unreported;B2C Market (Business-to-Consumer);142;3887;1554;1633;95828.5;26;653
195;18;female;married;038;Healthcare;B2B Market (Business-to-Business);86;3884;0;2718;21108.0;0;585
196;26;male;married;062;Agriculture and Fishing;B2B Market (Business-to-Business);34;2831;0;1981;28326.0;0;712
197;20;female;married;016;Private Sector Management;B2B Market (Business-to-Business);121;5001;2000;2100;32504.0;0;640
198;20;female;married;039;Self-Employed Professionals;B2B Market (Business-to-Business);120;3820;0;2292;23522.0;2;619
199;20;male;single;074;Unreported;B2C Market (Business-to-Consumer);32;4628;1851;1666;23381.0;1;645
200;48;female;divorced;025;Retirees and Pensioners;B2B Market (Business-to-Business);80;4895;1958;1762;92891.0;21;668
201;29;male;divorced;060;Agriculture and Fishing;B2B Market (Business-to-Business);27;2030;812;852;30751.0;0;607
202;41;male;married;031;Education;B2B Market (Business-to-Business);185;4830;1932;1738;70981.0;16;656
203;36;female;divorced;025;Retirees and Pensioners;B2B Market (Business-to-Business);184;3856;0;2699;52386.0;12;690
204;45;female;married;066;Legal Activities;B2C Market (Business-to-Consumer);110;6604;2641;2377;115416.0;20;740
205;64;male;divorced;024;Retirees and Pensioners;B2B Market (Business-to-Business);116;3833;0;2683;106630.0;11;749
206;41;male;married;041;Self-Employed Professionals;B2B Market (Business-to-Business);133;3688;0;2581;57518.0;5;651
207;76;female;divorced;069;Retirees and Pensioners;B2C Market (Business-to-Consumer);224;4511;1353;2210;149512.0;3;704
208;75;male;divorced;069;Retirees and Pensioners;B2C Market (Business-to-Consumer);232;4626;0;3238;147165.0;0;779
209;77;female;divorced;069;Retirees and Pensioners;B2C Market (Business-to-Consumer);61;4556;1822;1913;153920.0;26;657
210;34;male;single;027;Self-Employed Professionals;B2B Market (Business-to-Business);166;4684;1873;1967;56300.0;14;649
211;41;male;divorced;027;Self-Employed Professionals;B2B Market (Business-to-Business);154;4969;1987;1789;74348.5;6;665
212;64;female;divorced;024;Retirees and Pensioners;B2B Market (Business-to-Business);154;3989;1595;1675;110405.0;10;773
213;27;female;married;045;Self-Employed Artisans and Traders;B2C Market (Business-to-Consumer);7;4713;1885;1979;38799.5;1;588
214;20;female;single;048;Self-Employed Artisans and Traders;B2C Market (Business-to-Consumer);8;3156;946;1326;20734.0;1;715
215;49;female;divorced;020;Private Sector Technical and Support;B2B Market (Business-to-Business);121;4301;1290;2107;82171.5;29;637
216;78;female;married;069;Retirees and Pensioners;B2C Market (Business-to-Consumer);200;4040;0;2424;139075.0;9;743
217;70;male;divorced;024;Retirees and Pensioners;B2B Market (Business-to-Business);226;3859;1543;1389;124997.0;4;761
218;81;female;divorced;069;Retirees and Pensioners;B2C Market (Business-to-Consumer);196;4973;1989;1790;178138.5;28;771
219;82;male;divorced;024;Retirees and Pensioners;B2B Market (Business-to-Business);186;4713;1885;1696;172208.0;9;741
220;69;female;married;069;Retirees and Pensioners;B2C Market (Business-to-Consumer);112;4155;1246;1745;125721.5;29;673
221;37;male;divorced;069;Retirees and Pensioners;B2C Market (Business-to-Consumer);101;3815;1144;1602;58341.5;9;674
222;39;male;divorced;057;Legal Activities;B2C Market (Business-to-Consumer);140;3570;1071;1749;55316.0;19;628
223;29;male;divorced;066;Legal Activities;B2C Market (Business-to-Consumer);8;5511;2204;2314;51605.5;3;654
224;61;female;married;024;Retirees and Pensioners;B2B Market (Business-to-Business);144;4660;0;2796;123816.0;14;768
225;35;female;divorced;048;Self-Employed Artisans and Traders;B2C Market (Business-to-Consumer);38;3567;1070;1747;54434.5;1;676
226;58;male;married;004;Public Administration;B2B Market (Business-to-Business);38;5984;2393;2513;142490.0;17;688
227;59;male;divorced;061;Agriculture and Fishing;B2B Market (Business-to-Business);126;3725;1490;1564;96412.5;3;755
228;18;male;single;048;Self-Employed Artisans and Traders;B2C Market (Business-to-Consumer);54;4383;0;3068;21360.0;0;661
229;19;female;single;016;Private Sector Management;B2B Market (Business-to-Business);11;5552;2220;2332;25983.0;1;713
230;43;male;married;040;Self-Employed Professionals;B2B Market (Business-to-Business);105;3746;1123;1836;69498.0;21;740
231;64;female;divorced;024;Retirees and Pensioners;B2B Market (Business-to-Business);145;3850;1540;1386;111680.0;13;707
232;22;female;single;026;Self-Employed Artisans and Traders;B2B Market (Business-to-Business);226;4368;0;2620;25786.0;3;617
233;49;female;married;058;Merchants and Traders;B2C Market (Business-to-Consumer);118;4857;0;2914;95978.5;20;724
234;65;male;divorced;024;Retirees and Pensioners;B2B Market (Business-to-Business);226;3916;1174;1645;107451.0;13;758
235;64;female;divorced;024;Retirees and Pensioners;B2B Market (Business-to-Business);102;3897;1558;1637;113586.0;16;718
236;23;male;single;032;Healthcare;B2B Market (Business-to-Business);67;5965;1789;2505;40087.5;5;612
237;34;female;married;015;Public Administration;B2B Market (Business-to-Business);166;2459;737;1205;29901.0;10;738
238;82;female;married;024;Retirees and Pensioners;B2B Market (Business-to-Business);94;4027;1610;1450;148721.0;19;750
239;26;male;married;063;Agriculture and Fishing;B2B Market (Business-to-Business);157;3712;1113;1819;34753.0;8;625
240;48;female;divorced;067;Real Estate Activities;B2C Market (Business-to-Consumer);163;5046;0;3532;95768.0;10;780
241;61;male;married;024;Retirees and Pensioners;B2B Market (Business-to-Business);116;4914;1965;1769;121160.0;24;748
242;18;female;single;099;Unemployed and Others;B2C Market (Business-to-Consumer);111;3977;0;2386;18612.0;0;710
243;79;male;married;024;Retirees and Pensioners;B2B Market (Business-to-Business);48;3561;1424;1282;128216.5;19;748
244;35;female;married;014;Public Administration;B2B Market (Business-to-Business);2;3361;0;2016;47704.5;3;657
245;53;male;married;052;Merchants and Traders;B2C Market (Business-to-Consumer);151;3958;1583;1662;88075.0;30;774
246;19;male;single;055;Merchants and Traders;B2C Market (Business-to-Consumer);219;3469;1387;1457;24688.5;1;588
247;49;male;divorced;004;Public Administration;B2B Market (Business-to-Business);103;4756;1902;1712;88963.0;3;665
248;82;male;divorced;024;Retirees and Pensioners;B2B Market (Business-to-Business);148;4854;1941;1747;173898.0;9;717
249;30;female;married;041;Self-Employed Professionals;B2B Market (Business-to-Business);198;3627;1450;1306;39146.0;10;695
250;18;male;single;010;Public Administration;B2B Market (Business-to-Business);38;2120;848;890;17848.0;0;609
251;42;female;married;058;Merchants and Traders;B2C Market (Business-to-Consumer);180;4662;0;2797;71217.0;20;666
252;81;female;divorced;024;Retirees and Pensioners;B2B Market (Business-to-Business);180;4936;1974;2073;176567.0;18;630
